unique_id,Timestamp,User ID,User Name,Comments Provided,Timer,Question Title,Question Answer Provided,Question Correct Answer,Question Comment Provided,number,result_id
48,,148,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,3,7,,5,3
49,,148,,,,Q4 しんぱいしょうで、あわてやすいと思う。,7,7,,5,4
50,,148,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,5,7,,5,5
51,,148,,,,Q6 ひかえめで、おとなしいと思う。,5,1,,5,6
52,,148,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,7,7,,5,7
53,,148,,,,Q8 わすれっぽく、うっかりしていると思う。,2,1,,5,8
54,,148,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,6,1,,5,9
55,,148,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,2,1,,5,10
56,2024-05-08 19:29:32,312,d8,,787,,,,,6,
57,,312,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,7,7,,6,1
58,,312,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,7,1,,6,2
59,,312,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,6,7,,6,3
60,,312,,,,Q4 しんぱいしょうで、あわてやすいと思う。,1,7,,6,4
61,,312,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,7,7,,6,5
62,,312,,,,Q6 ひかえめで、おとなしいと思う。,1,1,,6,6
63,,312,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,7,7,,6,7
64,,312,,,,Q8 わすれっぽく、うっかりしていると思う。,7,1,,6,8
65,,312,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,1,1,,6,9
66,,312,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,7,1,,6,10
67,2024-05-08 19:33:54,267,ee,,94,,,,,7,
68,,267,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,6,7,,7,1
69,,267,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,2,1,,7,2
70,,267,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,5,7,,7,3
71,,267,,,,Q4 しんぱいしょうで、あわてやすいと思う。,7,7,,7,4
72,,267,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,6,7,,7,5
73,,267,,,,Q6 ひかえめで、おとなしいと思う。,2,1,,7,6
74,,267,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,7,7,,7,7
75,,267,,,,Q8 わすれっぽく、うっかりしていると思う。,3,1,,7,8
76,,267,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,5,1,,7,9
77,,267,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,5,1,,7,10
78,2024-05-08 20:01:00,252,82,,1665,,,,,8,
79,,252,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,6,7,,8,1
80,,252,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,7,1,,8,2
81,,252,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,7,7,,8,3
82,,252,,,,Q4 しんぱいしょうで、あわてやすいと思う。,2,7,,8,4
83,,252,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,6,7,,8,5
84,,252,,,,Q6 ひかえめで、おとなしいと思う。,3,1,,8,6
85,,252,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,7,7,,8,7
86,,252,,,,Q8 わすれっぽく、うっかりしていると思う。,7,1,,8,8
87,,252,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,2,1,,8,9
88,,252,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,6,1,,8,10
89,2024-05-08 23:29:56,315,38,,1692,,,,,9,
90,,315,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,6,7,,9,1
91,,315,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,5,1,,9,2
92,,315,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,6,7,,9,3
93,,315,,,,Q4 しんぱいしょうで、あわてやすいと思う。,2,7,,9,4
94,,315,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,6,7,,9,5
95,,315,,,,Q6 ひかえめで、おとなしいと思う。,2,1,,9,6
96,,315,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,7,7,,9,7
97,,315,,,,Q8 わすれっぽく、うっかりしていると思う。,6,1,,9,8
98,,315,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,2,1,,9,9
99,,315,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,7,1,,9,10
100,2024-05-09 08:01:41,277,fuku,,68,,,,,10,
101,,277,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,7,7,,10,1
102,,277,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,7,1,,10,2
103,,277,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,5,7,,10,3
104,,277,,,,Q4 しんぱいしょうで、あわてやすいと思う。,2,7,,10,4
105,,277,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,5,7,,10,5
106,,277,,,,Q6 ひかえめで、おとなしいと思う。,6,1,,10,6
107,,277,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,6,7,,10,7
108,,277,,,,Q8 わすれっぽく、うっかりしていると思う。,7,1,,10,8
109,,277,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,1,1,,10,9
110,,277,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,5,1,,10,10
111,2024-05-10 19:58:02,384,mariesunsun0705,,116,,,,,11,
112,,384,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,4,7,,11,1
113,,384,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,5,1,,11,2
114,,384,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,3,7,,11,3
115,,384,,,,Q4 しんぱいしょうで、あわてやすいと思う。,5,7,,11,4
116,,384,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,5,7,,11,5
117,,384,,,,Q6 ひかえめで、おとなしいと思う。,5,1,,11,6
118,,384,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,3,7,,11,7
119,,384,,,,Q8 わすれっぽく、うっかりしていると思う。,1,1,,11,8
120,,384,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,6,1,,11,9
121,,384,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,6,1,,11,10
122,2024-05-11 19:12:59,314,,,776,,,,,12,
123,,314,,,,Q1 活発(かっぱつ)で、ひととはなすことが好(す)きな方(ほう)だとおもう。,7,7,,12,1
124,,314,,,,Q2 ほかのひととの考えのちがいがあるとき、けんかをしたり仲(なか)が悪くなってしまう。,7,1,,12,2
125,,314,,,,Q3 しっかりしていて、じぶんに厳しい(きびしい)と思う。,7,7,,12,3
126,,314,,,,Q4 しんぱいしょうで、あわてやすいと思う。,3,7,,12,4
127,,314,,,,Q5 新しいことが好きで、変わった考え(かんがえ)をもつとおもう。,6,7,,12,5
128,,314,,,,Q6 ひかえめで、おとなしいと思う。,2,1,,12,6
129,,314,,,,Q7 ひとに気をつかう、やさしい人間だと思う。,7,7,,12,7
130,,314,,,,Q8 わすれっぽく、うっかりしていると思う。,7,1,,12,8
131,,314,,,,Q9 おちついていて、気分(きぶん）が安定していると思う。,1,1,,12,9
132,,314,,,,Q10 発想力(はっそうりょく)があまりなく、ふつうな人間だと思う。,7,1,,12,10
