User ID,Timestamp,Quiz/Survey,Total Correct,Total Questions,Score,Timer,あたらしいことが すきで、ほかのひとと ちがう かんがえをもつ。,あたらしいことを かんがえられる、ユニークなにんげんである。,いつも おちつきがなく、きもちに へんかが おおい。,じぶんと ちがうことを かんがえるひとに けんかすることは ない。,じぶんに きびしく、きちんと せいかつをしている。,ひとと はなしをするのが すき。,ひとまえで えんりょしたり、だまってしまうことは ない。,ほかのひとが かんがえていることが わかる、やさしいにんげんである。,よく しんぱいをしたり、あわてることがある。,わすれものをしたり、ミスをすることは すくない。
1808,2025-02-07 17:55:37,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 45,341.0,5.0,5.0,5.0,2.0,6.0,5.0,4.0,6.0,5.0,2.0
1810,2025-02-07 12:39:53,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 51,850.0,7.0,7.0,7.0,3.0,7.0,2.0,3.0,7.0,7.0,1.0
1817,2025-02-07 12:37:14,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 54,605.0,6.0,5.0,5.0,5.0,7.0,5.0,5.0,6.0,6.0,4.0
1819,2025-02-07 17:43:31,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 40,219.0,6.0,5.0,6.0,3.0,3.0,5.0,2.0,3.0,5.0,2.0
1823,2025-02-07 11:25:36,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 46,600.0,7.0,1.0,7.0,1.0,7.0,7.0,1.0,7.0,7.0,1.0
1828,2025-02-07 13:24:03,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 59,385.0,7.0,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1829,2025-02-07 17:48:38,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 58,465.0,7.0,7.0,7.0,7.0,5.0,7.0,3.0,7.0,5.0,3.0
1831,2025-02-07 17:36:41,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,867.0,7.0,7.0,1.0,6.0,5.0,6.0,5.0,7.0,2.0,7.0
1833,2025-02-07 12:10:07,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 52,901.0,7.0,7.0,2.0,7.0,7.0,7.0,3.0,5.0,4.0,3.0
1835,2025-02-08 16:48:19,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 46,413.0,7.0,7.0,7.0,4.0,7.0,1.0,1.0,1.0,4.0,7.0
1838,2025-02-07 12:05:12,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 59,407.0,6.0,7.0,7.0,7.0,6.0,5.0,3.0,6.0,7.0,5.0
1842,2025-02-07 12:34:36,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 42,516.0,3.0,1.0,3.0,7.0,5.0,5.0,4.0,7.0,4.0,3.0
1854,2025-02-07 17:48:12,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 55,765.0,5.0,7.0,3.0,7.0,6.0,6.0,4.0,7.0,3.0,7.0
1856,2025-02-07 11:34:27,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 56,112.0,7.0,7.0,3.0,7.0,7.0,5.0,5.0,7.0,3.0,5.0
1857,2025-02-07 12:08:42,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 61,303.0,7.0,7.0,6.0,7.0,7.0,1.0,7.0,7.0,6.0,6.0
1858,2025-02-07 17:44:46,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 54,521.0,6.0,4.0,3.0,7.0,6.0,6.0,6.0,5.0,7.0,4.0
1865,2025-02-07 11:34:10,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 56,322.0,7.0,7.0,5.0,3.0,7.0,6.0,6.0,5.0,5.0,5.0
1868,2025-02-07 16:11:25,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 60,669.0,7.0,5.0,6.0,6.0,7.0,6.0,5.0,7.0,6.0,5.0
1870,2025-02-07 12:36:01,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 54,691.0,7.0,7.0,2.0,7.0,7.0,7.0,6.0,7.0,2.0,2.0
1871,2025-02-07 13:23:14,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 28,427.0,2.0,1.0,6.0,6.0,1.0,1.0,6.0,2.0,2.0,1.0
1872,2025-02-07 16:31:04,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 61,67.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0
1875,2025-02-07 12:32:13,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 60,239.0,7.0,6.0,4.0,7.0,7.0,7.0,6.0,6.0,5.0,5.0
1881,2025-02-07 12:36:30,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 54,602.0,6.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0
1882,2025-02-07 12:39:14,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,774.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0
1883,2025-02-07 12:35:15,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 52,515.0,7.0,1.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0
1889,2025-02-07 13:10:36,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 55,403.0,5.0,5.0,5.0,7.0,7.0,7.0,3.0,7.0,5.0,4.0
1891,2025-02-07 15:22:15,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 50,182.0,7.0,7.0,2.0,7.0,4.0,4.0,7.0,3.0,7.0,2.0
1898,2025-02-07 15:20:30,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 61,648.0,7.0,6.0,4.0,7.0,7.0,7.0,6.0,7.0,5.0,5.0
1900,2025-02-07 13:17:32,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 52,338.0,7.0,4.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,4.0
1921,2025-02-01 18:10:42,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 55,173.0,6.0,6.0,7.0,6.0,5.0,6.0,3.0,6.0,7.0,3.0
1952,2025-02-07 12:40:08,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 46,1088.0,5.0,5.0,4.0,7.0,4.0,7.0,3.0,5.0,2.0,4.0
1953,2025-02-07 12:30:43,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 70,170.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
1954,2025-02-07 12:44:27,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 47,287.0,2.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0
1955,2025-02-07 12:34:19,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 64,310.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0
1976,2025-02-07 15:25:48,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 50,468.0,6.0,7.0,2.0,1.0,6.0,6.0,6.0,7.0,3.0,6.0
1977,2025-02-07 15:19:55,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 46,489.0,6.0,5.0,3.0,2.0,6.0,6.0,2.0,7.0,6.0,3.0
1978,2025-02-07 15:22:05,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 57,258.0,6.0,7.0,1.0,7.0,7.0,7.0,6.0,7.0,2.0,7.0
1980,2025-02-07 15:28:45,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 50,591.0,6.0,7.0,5.0,5.0,6.0,5.0,6.0,5.0,2.0,3.0
1981,2025-02-07 15:22:05,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 45,768.0,5.0,6.0,1.0,1.0,7.0,4.0,3.0,6.0,6.0,6.0
1984,2025-02-07 15:27:48,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 60,323.0,6.0,6.0,5.0,7.0,7.0,7.0,3.0,6.0,7.0,6.0
1985,2025-02-07 15:22:40,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 51,911.0,6.0,6.0,3.0,7.0,7.0,5.0,5.0,6.0,3.0,3.0
1988,2025-02-07 16:11:25,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 53,647.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,7.0,4.0,5.0
1995,2025-02-07 15:22:51,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 50,518.0,7.0,7.0,1.0,7.0,7.0,7.0,4.0,5.0,2.0,3.0
1999,2025-02-07 15:41:24,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 51,181.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,6.0
2001,2025-02-07 20:29:04,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 52,323.0,6.0,6.0,2.0,7.0,7.0,6.0,5.0,6.0,1.0,6.0
2002,2025-02-07 20:15:06,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 46,223.0,6.0,5.0,1.0,7.0,7.0,6.0,1.0,7.0,5.0,1.0
2003,2025-02-07 20:35:01,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 61,427.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0
2017,2025-02-08 00:17:05,202502_JPNAVI性格診断てすと,0.0,10.0,0 OR 54,234.0,7.0,6.0,6.0,7.0,7.0,1.0,6.0,6.0,3.0,5.0
